gene,p_val,logFC,p_val_adj,cell type
ADRA1A,0.9711417105858875,0.26484877,1.0,AT2
CXCR1,0.9567243633453717,0.26524466,1.0,AT2
ABCB1,0.9711417105858875,0.2707588,1.0,AT2
MMP17,0.9711417105858875,0.27638134,1.0,AT2
SELE,0.9783542176988099,0.27690065,1.0,AT2
FAM124B,0.9711417105858875,0.2882182,1.0,AT2
COL6A5,0.9639315628793279,0.29621208,1.0,AT2
CDKN2A,0.985568494873167,0.29671755,1.0,AT2
JSRP1,0.9783542176988099,0.30496082,1.0,AT2
WNT11,0.9639315628793279,0.30983472,1.0,AT2
CXCL6,0.9711417105858875,0.31187835,1.0,AT2
LCN6,0.9639315628793279,0.31202838,1.0,AT2
LTA,0.985568494873167,0.31234068,1.0,AT2
GDA,0.9927839523298077,0.31653464,1.0,AT2
SRPK3,0.985568494873167,0.3332045,1.0,AT2
SUSD5,0.985568494873167,0.33481872,1.0,AT2
MFAP5,0.9711417105858875,0.33706638,1.0,AT2
SFRP1,0.9711417105858875,0.3411473,1.0,AT2
GREM1,0.9927839523298077,0.3472891,1.0,AT2
ANKK1,0.985568494873167,0.34882286,1.0,AT2
FRZB,0.9639315628793279,0.3495652,1.0,AT2
CLEC4M,0.9567243633453717,0.35413712,1.0,AT2
HIST1H2BG,0.9639315628793279,0.35489655,1.0,AT2
FAM30A,0.9711417105858875,0.35598245,1.0,AT2
PCDH15,0.9639315628793279,0.36429343,1.0,AT2
LZTS1,0.9639315628793279,0.36914942,1.0,AT2
PRRX2,0.9783542176988099,0.3763127,1.0,AT2
HSPA2,0.9423211601017176,0.37649488,1.0,AT2
CTH,0.9682922246195456,0.3792775,1.0,AT2
NIBAN3,0.9639315628793279,0.37982994,1.0,AT2
TVP23A,0.9423211601017176,0.38399982,1.0,AT2
LRCOL1,0.9423211601017176,0.3965516,1.0,AT2
CLNK,0.9639315628793279,0.39806965,1.0,AT2
RASD2,0.9783542176988099,0.40103006,1.0,AT2
TPSD1,0.9423211601017176,0.4021476,1.0,AT2
P2RX5,0.949520700027343,0.4026012,1.0,AT2
HEATR9,0.9639315628793279,0.40522015,1.0,AT2
GPR20,0.9711417105858875,0.40911236,1.0,AT2
ADRA2C,0.9711417105858875,0.41584992,1.0,AT2
ZNF829,0.9783542176988099,0.42448264,1.0,AT2
CDH6,0.9711417105858875,0.42633754,1.0,AT2
RGL4,0.9783542176988099,0.4276872,1.0,AT2
TNF,0.9567243633453717,0.42852432,1.0,AT2
BLK,0.9567243633453717,0.438993,1.0,AT2
CCR4,0.9423211601017176,0.45011768,1.0,AT2
SOAT2,0.9927839523298077,0.45803994,1.0,AT2
VIPR2,0.9783542176988099,0.4637491,1.0,AT2
LAMP5,0.9783542176988099,0.4713888,1.0,AT2
KCP,0.9711417105858875,0.48611644,1.0,AT2
GRM2,0.985568494873167,0.5214755,1.0,AT2
BRSK1,0.9279367939382762,0.56443334,1.0,AT2
PGR,0.9423211601017176,0.57406324,1.0,AT2
ADGRG3,0.9207531364290813,0.5813094,1.0,AT2
CRLF1,0.9351263297345438,0.60069585,1.0,AT2
ADCYAP1,0.9783542176988099,0.60275304,1.0,AT2
FABP3,0.9279367939382762,0.60535794,1.0,AT2
RAB26,0.949520700027343,0.62136793,1.0,AT2
CD40LG,0.9135759394846705,0.62450665,1.0,AT2
FAM171B,0.9639315628793279,0.65250605,1.0,AT2
SOX2,0.9279367939382762,0.65921277,1.0,AT2
SLC2A4,0.985568494873167,0.66043705,1.0,AT2
TNFSF8,0.9351263297345438,0.71881366,1.0,AT2
AFF2,0.9207531364290813,0.7247748,1.0,AT2
HTR1F,0.9711417105858875,0.73291814,1.0,AT2
PAX5,0.9783542176988099,0.7527036,1.0,AT2
ADRA2A,0.9696296902495001,0.7999853,1.0,AT2
C3orf70,0.9135759394846705,0.80188155,1.0,AT2
FIGNL2,0.8992432483599433,0.85978454,1.0,AT2
ALDH3A1,0.9064057838027219,0.8710746,1.0,AT2
GPIHBP1,0.8992432483599433,0.9036745,1.0,AT2
TNS4,0.8849433446532329,0.9212527,1.0,AT2
BDNF,0.9639315628793279,0.94811237,1.0,AT2
PLIN4,0.92892212147207,0.9597446,1.0,AT2
IL11,0.9783542176988099,0.9891342,1.0,AT2
CATSPERZ,0.9639315628793279,1.0021204,1.0,AT2
RND1,0.807874066773389,1.0125918,1.0,AT2
RIMS3,0.9207531364290813,1.0207223,1.0,AT2
CXCL5,0.9207531364290813,1.1183696,1.0,AT2
E2F1,0.6862171193895921,1.2018317,1.0,AT2
CCL20,0.7187825378671988,1.3253433,1.0,AT2
SLC4A3,0.9135759394846705,1.369455,1.0,AT2
GATA1,0.9711417105858875,1.4970328,1.0,AT2
TNFRSF10C,0.9207531364290813,1.5338387,1.0,AT2
C3orf18,0.8422860923915162,1.6128745,1.0,AT2
FRMD3,0.9064057838027219,1.7352974,1.0,AT2
C2CD4C,0.9135759394846705,1.81046,1.0,AT2
FGF1,0.949520700027343,1.9098759,1.0,AT2
HSD11B2,0.8894370818000349,2.1085012,1.0,AT2
TYMS,0.8740128211421425,2.205799,1.0,AT2
CSF3,0.7368027381667821,2.6135955,1.0,AT2
RRM2,0.9988361058895542,3.1834211,1.0,AT2
TFPI2,0.9064057838027219,3.4897475,1.0,AT2
SLC28A3,0.9587002039237665,4.1122603,1.0,AT2
SPX,0.8035830312786705,5.4277544,1.0,AT2
NUSAP1,0.9014373744401747,6.286825,1.0,AT2
ADGRL3,0.9885513297188114,0.26738864,1.0,CD4+ T Cells
DHH,0.9771050164543608,0.26882967,1.0,CD4+ T Cells
MMP9,0.9771050164543608,0.27553153,1.0,CD4+ T Cells
VAX2,0.9885513297188114,0.28341225,1.0,CD4+ T Cells
FLNC,0.96566341576772,0.29022136,1.0,CD4+ T Cells
MAP1LC3C,0.9885513297188114,0.29209152,1.0,CD4+ T Cells
COL4A6,0.9885513297188114,0.2942042,1.0,CD4+ T Cells
FGF12,0.9885513297188114,0.29474,1.0,CD4+ T Cells
HSPA2,0.96566341576772,0.30562162,1.0,CD4+ T Cells
LGR6,0.9771050164543608,0.3059941,1.0,CD4+ T Cells
SPTB,0.9885513297188114,0.316789,1.0,CD4+ T Cells
IGSF21,0.9771050164543608,0.34391543,1.0,CD4+ T Cells
FABP6,0.9771050164543608,0.34447467,1.0,CD4+ T Cells
CCN3,0.9771050164543608,0.3656944,1.0,CD4+ T Cells
OTUD7A,0.9885513297188114,0.36738232,1.0,CD4+ T Cells
FABP3,0.96566341576772,0.3957117,1.0,CD4+ T Cells
AGBL2,0.96566341576772,0.40055704,1.0,CD4+ T Cells
ZDHHC11,0.9542288803101271,0.43295702,1.0,CD4+ T Cells
RSPO3,0.9542288803101271,0.44248623,1.0,CD4+ T Cells
BMX,0.9885513297188114,0.45291626,1.0,CD4+ T Cells
IGHD,0.96566341576772,0.4778831,1.0,CD4+ T Cells
S100A3,0.96566341576772,0.5326352,1.0,CD4+ T Cells
PTN,0.96566341576772,0.54574263,1.0,CD4+ T Cells
STC1,0.9771050164543608,0.5483206,1.0,CD4+ T Cells
APOLD1,0.9771050164543608,0.5727319,1.0,CD4+ T Cells
ARG1,0.9885513297188114,0.5748354,1.0,CD4+ T Cells
FAM162B,0.9542288803101271,0.58365643,1.0,CD4+ T Cells
OMD,0.9771050164543608,0.5912257,1.0,CD4+ T Cells
ZNF530,0.9634496554924077,0.6237442,1.0,CD4+ T Cells
HOXA9,0.9771050164543608,0.6520288,1.0,CD4+ T Cells
FRMD3,0.96566341576772,0.66152143,1.0,CD4+ T Cells
RGL4,0.9283245895595574,0.68003494,1.0,CD4+ T Cells
XCL2,0.9277115551666139,0.6906613,1.0,CD4+ T Cells
EGF,0.9885513297188114,0.7240662,1.0,CD4+ T Cells
CYTL1,0.9885513297188114,0.7404606,1.0,CD4+ T Cells
ITGA11,0.9542288803101271,0.82917327,1.0,CD4+ T Cells
WNT10B,0.8167333830581994,0.8995787,1.0,CD4+ T Cells
VWC2,0.9771050164543608,1.0290953,1.0,CD4+ T Cells
CTH,0.9313903924353149,1.0821946,1.0,CD4+ T Cells
ZNF273,0.9771050164543608,1.0868407,1.0,CD4+ T Cells
TYMS,0.908608260822589,1.2712461,1.0,CD4+ T Cells
ERMN,0.6104183866210959,1.443156,1.0,CD4+ T Cells
BIRC7,0.96566341576772,1.7015404,1.0,CD4+ T Cells
RNF157,0.5284052817335628,1.7325337,1.0,CD4+ T Cells
SCUBE1,0.8236915880140336,1.8020246,1.0,CD4+ T Cells
PPP2R2B,0.4897095236283219,1.8646159,1.0,CD4+ T Cells
TRIM7,0.8520208861596299,3.087975,1.0,CD4+ T Cells
TOP2A,0.9313903924353149,3.3567233,1.0,CD4+ T Cells
DLK2,0.9542288803101271,3.9521983,1.0,CD4+ T Cells
FSD1,0.8856573654306521,6.348168,1.0,CD4+ T Cells
PTTG1,0.2043639231670873,9.743232,1.0,CD4+ T Cells
SOSTDC1,0.9692341741437794,0.25101185,1.0,KRT5-/KRT17+ cells
FCER2,0.9897424646757619,0.260161,1.0,KRT5-/KRT17+ cells
DKK2,0.9692341741437794,0.26689532,1.0,KRT5-/KRT17+ cells
ADAMTS5,0.9897424646757619,0.27102256,1.0,KRT5-/KRT17+ cells
CCL4L2,0.9794866245907619,0.27132517,1.0,KRT5-/KRT17+ cells
Z82206.1,0.9794866245907619,0.2747442,1.0,KRT5-/KRT17+ cells
SDS,0.9897424646757619,0.2827859,1.0,KRT5-/KRT17+ cells
NTRK3,0.9692341741437794,0.2839859,1.0,KRT5-/KRT17+ cells
KCNIP3,0.9897424646757619,0.28754976,1.0,KRT5-/KRT17+ cells
P2RY8,0.9692341741437794,0.2907297,1.0,KRT5-/KRT17+ cells
S1PR5,0.9589868060533714,0.29854944,1.0,KRT5-/KRT17+ cells
TM4SF18,0.9794866245907619,0.30073768,1.0,KRT5-/KRT17+ cells
PAMR1,0.9794866245907619,0.30083492,1.0,KRT5-/KRT17+ cells
CACNB2,0.9794866245907619,0.30097115,1.0,KRT5-/KRT17+ cells
MS4A1,0.9692341741437794,0.30419406,1.0,KRT5-/KRT17+ cells
MT1M,0.9692341741437794,0.30557492,1.0,KRT5-/KRT17+ cells
MRAP2,0.9897424646757619,0.30710995,1.0,KRT5-/KRT17+ cells
KCNA5,0.9794866245907619,0.3330057,1.0,KRT5-/KRT17+ cells
SIGLEC8,0.9794866245907619,0.34268364,1.0,KRT5-/KRT17+ cells
SUSD5,0.9897424646757619,0.37973005,1.0,KRT5-/KRT17+ cells
CLEC4M,0.9589868060533714,0.3864912,1.0,KRT5-/KRT17+ cells
RANBP3L,0.9794866245907619,0.38657734,1.0,KRT5-/KRT17+ cells
RELN,0.9897424646757619,0.3877298,1.0,KRT5-/KRT17+ cells
NXF3,0.9487462105194959,0.39235628,1.0,KRT5-/KRT17+ cells
GZMK,0.9692341741437794,0.39830828,1.0,KRT5-/KRT17+ cells
CD70,0.9897424646757619,0.39844397,1.0,KRT5-/KRT17+ cells
FLNC,0.9487462105194959,0.4003715,1.0,KRT5-/KRT17+ cells
SLC26A10,0.9692341741437794,0.4175595,1.0,KRT5-/KRT17+ cells
CDH6,0.9794866245907619,0.42351487,1.0,KRT5-/KRT17+ cells
KLRF1,0.9589868060533714,0.43321213,1.0,KRT5-/KRT17+ cells
EOMES,0.9692341741437794,0.43724504,1.0,KRT5-/KRT17+ cells
ZBTB32,0.9794866245907619,0.43993115,1.0,KRT5-/KRT17+ cells
FAM222A,0.9589868060533714,0.4624009,1.0,KRT5-/KRT17+ cells
MMP9,0.9589868060533714,0.46484426,1.0,KRT5-/KRT17+ cells
FOXL1,0.9692341741437794,0.466846,1.0,KRT5-/KRT17+ cells
PROX1,0.9692341741437794,0.47361374,1.0,KRT5-/KRT17+ cells
ZNF385D,0.9589868060533714,0.4754616,1.0,KRT5-/KRT17+ cells
RNF112,0.9487462105194959,0.47559646,1.0,KRT5-/KRT17+ cells
FGFBP2,0.9487462105194959,0.47697073,1.0,KRT5-/KRT17+ cells
COL6A5,0.9589868060533714,0.47759485,1.0,KRT5-/KRT17+ cells
DEPTOR,0.9487462105194959,0.48634455,1.0,KRT5-/KRT17+ cells
FGA,0.9794866245907619,0.48728272,1.0,KRT5-/KRT17+ cells
GALNT15,0.9794866245907619,0.49132535,1.0,KRT5-/KRT17+ cells
MEOX1,0.9794866245907619,0.501672,1.0,KRT5-/KRT17+ cells
CCDC136,0.9589868060533714,0.5089313,1.0,KRT5-/KRT17+ cells
CCN3,0.9692341741437794,0.5109974,1.0,KRT5-/KRT17+ cells
VSIG1,0.9897424646757619,0.5148953,1.0,KRT5-/KRT17+ cells
PGR,0.9589868060533714,0.5213681,1.0,KRT5-/KRT17+ cells
LIPG,0.9385140743872163,0.52267396,1.0,KRT5-/KRT17+ cells
ORM1,0.9589868060533714,0.5374726,1.0,KRT5-/KRT17+ cells
NR5A2,0.9487462105194959,0.5388155,1.0,KRT5-/KRT17+ cells
HIST1H2AH,0.9692341741437794,0.5393409,1.0,KRT5-/KRT17+ cells
CCR4,0.9487462105194959,0.55336607,1.0,KRT5-/KRT17+ cells
CCN4,0.9692341741437794,0.5617961,1.0,KRT5-/KRT17+ cells
ESM1,0.9794866245907619,0.56230307,1.0,KRT5-/KRT17+ cells
CDH19,0.9897424646757619,0.56916004,1.0,KRT5-/KRT17+ cells
DOC2B,0.9385140743872163,0.583317,1.0,KRT5-/KRT17+ cells
ISM1,0.9487462105194959,0.58891565,1.0,KRT5-/KRT17+ cells
FAM162B,0.9487462105194959,0.5940883,1.0,KRT5-/KRT17+ cells
GPR20,0.9692341741437794,0.59480035,1.0,KRT5-/KRT17+ cells
GUCY1A2,0.9385140743872163,0.6046174,1.0,KRT5-/KRT17+ cells
CD244,0.9282920803131749,0.6166085,1.0,KRT5-/KRT17+ cells
CAMK4,0.9487462105194959,0.6249233,1.0,KRT5-/KRT17+ cells
PTN,0.9589868060533714,0.6264603,1.0,KRT5-/KRT17+ cells
CPXM1,0.9794866245907619,0.6496972,1.0,KRT5-/KRT17+ cells
MUSK,0.9794866245907619,0.656968,1.0,KRT5-/KRT17+ cells
GFI1,0.9282920803131749,0.65964675,1.0,KRT5-/KRT17+ cells
DNASE1L3,0.9487462105194959,0.6614025,1.0,KRT5-/KRT17+ cells
NXPH3,0.9487462105194959,0.6759981,1.0,KRT5-/KRT17+ cells
RNF157,0.9589868060533714,0.68807256,1.0,KRT5-/KRT17+ cells
CADPS,0.9692341741437794,0.689034,1.0,KRT5-/KRT17+ cells
SYN2,0.9692341741437794,0.6985531,1.0,KRT5-/KRT17+ cells
CHRDL2,0.9794866245907619,0.70887846,1.0,KRT5-/KRT17+ cells
CXCL9,0.9692341741437794,0.7237013,1.0,KRT5-/KRT17+ cells
SLC6A1,0.9487462105194959,0.7447572,1.0,KRT5-/KRT17+ cells
ASTL,0.9794866245907619,0.75586784,1.0,KRT5-/KRT17+ cells
HIST1H4C,0.9282920803131749,0.78936386,1.0,KRT5-/KRT17+ cells
ENPP1,0.9589868060533714,0.8015305,1.0,KRT5-/KRT17+ cells
HOXA9,0.9589868060533714,0.8038293,1.0,KRT5-/KRT17+ cells
ADGRL3,0.9589868060533714,0.8055485,1.0,KRT5-/KRT17+ cells
BFSP1,0.9692341741437794,0.8131809,1.0,KRT5-/KRT17+ cells
FAM110D,0.9180819059355225,0.8226687,1.0,KRT5-/KRT17+ cells
RND1,0.8424935372097413,0.8399802,1.0,KRT5-/KRT17+ cells
CTHRC1,0.8977036967787584,0.89625883,1.0,KRT5-/KRT17+ cells
LZTS1,0.9487462105194959,0.9040209,1.0,KRT5-/KRT17+ cells
